strain_microstrain,tilt_deg,vibration_g,displacement_mm,node1_tilt_resultant,node2_tilt_resultant,node3_tilt_resultant,transient_accel_g,rms_vibration_g,anomaly_score,zone_id,hazard_zone
1113.55,6.911,1.2298,16.655,3.1,6.911,1.186,0.8313,1.2298,0.9179,2,ZONE_C
130.81,0.141,0.0245,1.025,0.005,0.141,0.013,0.0029,0.0245,0.1611,0,ZONE_A
119.55,0.169,0.0402,1.958,0.051,0.169,0.016,0.002,0.0402,0.305,0,ZONE_A
107.08,0.116,0.0345,0.673,0.059,0.116,0.033,0.0345,0.0345,0.2303,0,ZONE_A
447.4,2.05,0.3544,2.501,0.478,2.05,0.174,0.1912,0.3544,0.5792,1,ZONE_B
411.74,2.206,0.4131,5.139,0.625,2.206,0.195,0.1046,0.4131,0.5233,1,ZONE_B
456.36,1.969,0.4252,4.16,0.53,1.969,0.207,0.08,0.4252,0.5478,1,ZONE_B
137.76,0.161,0.0058,0.654,0.023,0.161,0.053,0.0035,0.0058,0.2696,0,ZONE_A
454.89,1.428,0.4239,4.276,0.845,1.428,0.256,0.16,0.4239,0.551,1,ZONE_B
181.39,0.125,0.0342,1.135,0.03,0.125,0.028,0.0121,0.0342,0.1665,0,ZONE_A
794.49,5.192,1.1773,22.139,3.687,5.192,1.29,1.1773,1.1281,0.933,2,ZONE_C
810.04,7.968,1.5679,18.51,2.945,7.968,1.854,1.5679,0.8747,0.7374,2,ZONE_C
1016.36,8.505,1.4165,20.963,2.867,8.505,1.435,1.4165,1.3805,0.9611,2,ZONE_C
760.0,11.286,1.9761,11.971,2.759,11.286,1.709,1.0505,1.9761,0.7838,2,ZONE_C
363.02,2.148,0.4656,7.237,0.576,2.148,0.165,0.1507,0.4656,0.5687,1,ZONE_B
513.88,2.72,0.321,4.783,0.741,2.72,0.141,0.1029,0.321,0.3681,1,ZONE_B
1075.86,8.605,1.3735,12.843,3.259,8.605,1.435,0.62,1.3735,0.8908,2,ZONE_C
159.44,0.112,0.0624,1.479,0.026,0.112,0.003,0.0624,0.0353,0.2106,0,ZONE_A
966.68,6.653,2.0735,11.082,3.561,6.653,1.086,1.0108,2.0735,0.8673,2,ZONE_C
204.01,0.135,0.0184,1.881,0.028,0.135,0.041,0.0152,0.0184,0.146,0,ZONE_A
465.78,2.098,0.2589,4.63,0.596,2.098,0.312,0.164,0.2589,0.4724,1,ZONE_B
165.68,0.117,0.0318,1.276,0.015,0.117,0.041,0.0109,0.0318,0.2505,0,ZONE_A
574.15,2.049,0.4852,3.871,0.78,2.049,0.082,0.1654,0.4852,0.5476,1,ZONE_B
865.77,7.708,1.892,11.937,2.888,7.708,1.754,0.62,1.892,0.7658,2,ZONE_C
1109.73,7.501,2.0498,16.124,2.645,7.501,0.702,1.3476,2.0498,0.7958,2,ZONE_C
1373.33,9.312,1.1837,15.253,2.258,9.312,0.906,1.0286,1.1837,0.7327,2,ZONE_C
348.3,2.325,0.2891,6.552,0.46,2.325,0.141,0.2269,0.2891,0.4987,1,ZONE_B
121.56,0.122,0.0156,1.229,0.049,0.122,0.035,0.0042,0.0156,0.134,0,ZONE_A
181.29,0.111,0.0386,1.168,0.012,0.111,0.016,0.0034,0.0386,0.2257,0,ZONE_A
1110.65,8.462,2.0689,18.98,4.973,8.462,0.767,1.0344,2.0689,0.9373,2,ZONE_C
496.54,1.944,0.4269,5.737,0.748,1.944,0.329,0.1285,0.4269,0.4236,1,ZONE_B
134.16,0.161,0.0289,1.566,0.033,0.161,0.036,0.0125,0.0289,0.2528,0,ZONE_A
524.23,2.234,0.4895,5.831,0.53,2.234,0.176,0.1729,0.4895,0.5004,1,ZONE_B
1005.93,7.548,2.4869,8.1,2.632,7.548,1.875,1.2325,2.4869,0.8171,2,ZONE_C
538.6,2.217,0.4234,5.329,0.696,2.217,0.068,0.1845,0.4234,0.6031,1,ZONE_B
978.8,7.471,0.9947,15.33,3.156,7.471,1.113,0.9947,0.9918,0.9584,2,ZONE_C
447.74,1.99,0.2882,4.967,0.744,1.99,0.241,0.1989,0.2882,0.5709,1,ZONE_B
1021.66,7.914,1.3263,16.181,2.904,7.914,1.202,0.662,1.3263,0.8409,2,ZONE_C
656.88,1.59,0.2855,4.843,0.569,1.59,0.262,0.0901,0.2855,0.6242,1,ZONE_B
842.2,7.81,1.9688,17.948,1.083,7.81,1.065,0.639,1.9688,0.7251,2,ZONE_C
131.74,0.115,0.0444,0.958,0.013,0.115,0.037,0.0122,0.0444,0.2946,0,ZONE_A
1184.6,7.687,1.2028,18.564,3.863,7.687,1.468,0.8991,1.2028,0.7947,2,ZONE_C
850.25,9.159,1.5521,18.348,4.042,9.159,1.239,1.4241,1.5521,0.7484,2,ZONE_C
1207.33,8.356,1.9896,18.278,3.037,8.356,1.143,1.0885,1.9896,0.939,2,ZONE_C
800.09,6.302,1.5894,13.706,3.799,6.302,0.939,0.9496,1.5894,0.9667,2,ZONE_C
760.0,6.336,1.4318,11.47,2.491,6.336,1.152,1.4318,0.9449,0.7305,2,ZONE_C
576.55,1.961,0.3389,5.623,0.811,1.961,0.164,0.2056,0.3389,0.4844,1,ZONE_B
828.72,7.65,2.0579,15.479,3.878,7.65,1.097,1.6942,2.0579,0.8953,2,ZONE_C
485.88,2.472,0.5069,5.032,0.731,2.472,0.26,0.08,0.5069,0.3607,1,ZONE_B
446.95,2.475,0.2685,4.961,0.691,2.475,0.18,0.1204,0.2685,0.5423,1,ZONE_B
1083.33,7.093,1.431,18.025,2.905,7.093,1.302,1.0074,1.431,0.9398,2,ZONE_C
954.23,6.272,1.4129,16.919,3.141,6.272,1.096,0.62,1.4129,0.9678,2,ZONE_C
113.02,0.078,0.0492,1.001,0.04,0.078,0.001,0.0135,0.0492,0.2967,0,ZONE_A
508.11,2.649,0.5007,6.011,0.639,2.649,0.312,0.08,0.5007,0.3897,1,ZONE_B
118.71,0.156,0.0417,1.88,0.016,0.156,0.028,0.026,0.0417,0.192,0,ZONE_A
102.04,0.147,0.0262,1.098,0.033,0.147,0.011,0.0081,0.0262,0.1472,0,ZONE_A
943.76,9.644,1.096,12.213,3.163,9.644,1.031,1.096,0.9505,0.9361,2,ZONE_C
888.37,7.974,1.7207,9.481,3.634,7.974,0.885,0.62,1.7207,0.7239,2,ZONE_C
106.2,0.201,0.0388,1.058,0.021,0.201,0.024,0.0091,0.0388,0.1112,0,ZONE_A
384.21,2.535,0.2568,3.61,0.825,2.535,0.217,0.08,0.2568,0.4605,1,ZONE_B
496.35,2.157,0.3906,3.327,0.534,2.157,0.204,0.08,0.3906,0.3636,1,ZONE_B
495.41,1.612,0.2941,4.701,0.726,1.612,0.299,0.1637,0.2941,0.5699,1,ZONE_B
1260.91,7.743,1.6624,12.111,2.595,7.743,1.038,0.9762,1.6624,0.9608,2,ZONE_C
1077.2,7.906,1.5592,10.497,4.062,7.906,1.366,1.2832,1.5592,0.8359,2,ZONE_C
114.99,0.097,0.0525,1.282,0.026,0.097,0.048,0.0056,0.0525,0.081,0,ZONE_A
804.75,8.376,1.5548,22.324,3.452,8.376,1.216,0.62,1.5548,0.8802,2,ZONE_C
602.96,1.894,0.3941,5.495,0.606,1.894,0.347,0.0992,0.3941,0.632,1,ZONE_B
930.82,8.348,2.1029,15.935,3.103,8.348,1.186,1.4904,2.1029,0.9225,2,ZONE_C
651.37,2.449,0.3072,4.785,0.603,2.449,0.19,0.093,0.3072,0.5276,1,ZONE_B
408.47,2.072,0.5072,3.628,0.527,2.072,0.107,0.143,0.5072,0.391,1,ZONE_B
96.62,0.173,0.0454,1.283,0.027,0.173,0.029,0.0058,0.0454,0.0978,0,ZONE_A
540.07,2.551,0.3528,2.779,0.493,2.551,0.251,0.2596,0.3528,0.6893,1,ZONE_B
161.35,0.13,0.0244,1.049,0.021,0.13,0.033,0.0244,0.0201,0.0942,0,ZONE_A
548.34,1.751,0.2162,5.728,0.427,1.751,0.244,0.0896,0.2162,0.6398,1,ZONE_B
141.49,0.155,0.0293,0.633,0.025,0.155,0.056,0.011,0.0293,0.0838,0,ZONE_A
444.89,1.848,0.3209,5.563,0.478,1.848,0.224,0.215,0.3209,0.5025,1,ZONE_B
201.07,0.104,0.0155,1.942,0.029,0.104,0.023,0.009,0.0155,0.2209,0,ZONE_A
1112.7,6.177,1.9397,8.1,3.584,6.177,1.466,1.4967,1.9397,0.8473,2,ZONE_C
114.94,0.176,0.0515,1.12,0.045,0.176,0.023,0.0025,0.0515,0.1534,0,ZONE_A
454.37,2.263,0.4098,5.245,0.442,2.263,0.244,0.1227,0.4098,0.5152,1,ZONE_B
137.48,0.174,0.0378,0.895,0.028,0.174,0.023,0.0229,0.0378,0.0656,0,ZONE_A
489.62,1.964,0.4498,5.616,0.747,1.964,0.196,0.08,0.4498,0.544,1,ZONE_B
760.0,9.001,1.4433,19.211,3.791,9.001,0.711,0.8374,1.4433,0.9078,2,ZONE_C
958.85,7.285,1.7364,19.95,3.259,7.285,1.145,1.7364,1.306,0.8034,2,ZONE_C
179.25,0.107,0.038,1.25,0.026,0.107,0.038,0.0036,0.038,0.1665,0,ZONE_A
911.05,8.786,1.2714,8.1,2.618,8.786,1.691,0.62,1.2714,0.8459,2,ZONE_C
206.78,0.137,0.0619,1.29,0.043,0.137,0.008,0.0619,0.0359,0.0512,0,ZONE_A
981.27,6.219,1.4666,12.276,3.48,6.219,1.075,1.4666,1.4407,0.7185,2,ZONE_C
642.31,3.066,0.4291,6.293,0.553,3.066,0.316,0.1418,0.4291,0.5802,1,ZONE_B
911.17,6.167,1.2047,8.566,2.977,6.167,2.001,0.62,1.2047,0.8213,2,ZONE_C
107.65,0.129,0.0533,0.656,0.026,0.129,0.025,0.0167,0.0533,0.0917,0,ZONE_A
91.19,0.153,0.0293,1.05,0.01,0.153,0.008,0.015,0.0293,0.1138,0,ZONE_A
461.23,1.376,0.3293,5.142,0.626,1.376,0.179,0.1001,0.3293,0.5988,1,ZONE_B
111.91,0.127,0.0093,1.449,0.033,0.127,0.027,0.0031,0.0093,0.2349,0,ZONE_A
906.38,7.995,1.3995,12.077,3.248,7.995,1.129,0.7947,1.3995,0.9819,2,ZONE_C
137.87,0.067,0.0288,1.13,0.018,0.067,0.042,0.0031,0.0288,0.0716,0,ZONE_A
486.76,2.542,0.4269,5.28,0.414,2.542,0.143,0.1748,0.4269,0.5264,1,ZONE_B
471.2,2.449,0.2817,5.35,0.531,2.449,0.334,0.08,0.2817,0.3711,1,ZONE_B
1049.09,6.686,1.446,15.288,3.302,6.686,0.829,1.2077,1.446,0.9262,2,ZONE_C
78.48,0.105,0.0447,1.819,0.038,0.105,0.041,0.0132,0.0447,0.1155,0,ZONE_A
129.68,0.122,0.0436,0.754,0.032,0.122,0.013,0.0031,0.0436,0.3195,0,ZONE_A
998.77,6.796,2.0201,13.9,2.147,6.796,1.371,0.7135,2.0201,0.9566,2,ZONE_C
142.8,0.153,0.0411,0.809,0.019,0.153,0.024,0.029,0.0411,0.2956,0,ZONE_A
1058.75,7.695,1.6993,17.823,3.186,7.695,0.951,1.0198,1.6993,0.8352,2,ZONE_C
161.94,0.15,0.0281,1.083,0.024,0.15,0.049,0.0032,0.0281,0.0821,0,ZONE_A
117.72,0.171,0.0488,0.568,0.028,0.171,0.022,0.0074,0.0488,0.1349,0,ZONE_A
643.44,2.316,0.335,3.946,0.539,2.316,0.331,0.0857,0.335,0.4203,1,ZONE_B
583.03,2.558,0.2281,4.718,0.642,2.558,0.155,0.176,0.2281,0.4359,1,ZONE_B
212.83,0.114,0.0577,1.19,0.005,0.114,0.027,0.0031,0.0577,0.2219,0,ZONE_A
593.47,2.316,0.4888,3.746,0.605,2.316,0.186,0.2012,0.4888,0.4279,1,ZONE_B
457.04,2.456,0.4072,4.339,0.81,2.456,0.399,0.08,0.4072,0.4188,1,ZONE_B
1050.16,8.993,1.3655,15.592,3.26,8.993,1.449,1.1656,1.3655,0.7691,2,ZONE_C
877.16,7.588,1.1904,9.083,2.707,7.588,1.162,1.0871,1.1904,0.85,2,ZONE_C
576.79,2.656,0.3474,2.5,0.6,2.656,0.166,0.1758,0.3474,0.3734,1,ZONE_B
78.4,0.165,0.0255,1.183,0.019,0.165,0.037,0.002,0.0255,0.26,0,ZONE_A
488.76,2.057,0.419,6.176,0.414,2.057,0.144,0.1805,0.419,0.6081,1,ZONE_B
1138.22,8.548,1.5503,15.763,3.033,8.548,0.99,0.6706,1.5503,0.968,2,ZONE_C
552.79,2.583,0.4415,5.275,0.492,2.583,0.285,0.1833,0.4415,0.6041,1,ZONE_B
951.12,6.422,1.6887,8.1,3.298,6.422,1.518,1.3423,1.6887,0.771,2,ZONE_C
493.42,2.199,0.4034,3.805,0.68,2.199,0.17,0.1037,0.4034,0.3816,1,ZONE_B
466.63,2.31,0.4449,4.02,0.625,2.31,0.411,0.2025,0.4449,0.4829,1,ZONE_B
129.52,0.11,0.0494,0.893,0.014,0.11,0.027,0.0119,0.0494,0.2261,0,ZONE_A
673.23,2.552,0.4511,4.865,0.817,2.552,0.092,0.1779,0.4511,0.3793,1,ZONE_B
424.79,2.604,0.2701,5.224,0.499,2.604,0.289,0.259,0.2701,0.4664,1,ZONE_B
1029.43,7.689,1.4773,14.656,2.184,7.689,1.595,1.4773,1.2351,0.7607,2,ZONE_C
519.65,1.987,0.3763,4.836,0.568,1.987,0.118,0.09,0.3763,0.6844,1,ZONE_B
210.85,0.163,0.0241,1.226,0.023,0.163,0.027,0.0165,0.0241,0.2841,0,ZONE_A
973.95,7.948,1.1722,18.98,2.842,7.948,1.402,1.1569,1.1722,0.8079,2,ZONE_C
994.7,8.559,1.6967,15.099,2.405,8.559,1.263,0.9323,1.6967,0.9881,2,ZONE_C
174.86,0.144,0.032,1.721,0.022,0.144,0.044,0.0035,0.032,0.1407,0,ZONE_A
362.53,1.933,0.2336,4.943,0.529,1.933,0.396,0.1549,0.2336,0.3808,1,ZONE_B
113.12,0.093,0.0265,1.602,0.017,0.093,0.033,0.0134,0.0265,0.0879,0,ZONE_A
115.33,0.104,0.0373,1.805,0.042,0.104,0.027,0.0172,0.0373,0.2157,0,ZONE_A
1035.65,9.288,1.9169,17.917,4.092,9.288,1.048,0.9543,1.9169,0.7616,2,ZONE_C
539.91,2.436,0.3676,3.966,0.55,2.436,0.251,0.1517,0.3676,0.5861,1,ZONE_B
160.93,0.13,0.0427,0.58,0.037,0.13,0.025,0.0234,0.0427,0.2997,0,ZONE_A
1194.22,6.041,1.2203,11.384,3.114,6.041,1.219,1.2203,1.123,0.7699,2,ZONE_C
455.92,2.881,0.4587,4.724,0.444,2.881,0.286,0.1078,0.4587,0.3809,1,ZONE_B
520.58,2.644,0.4181,6.087,0.691,2.644,0.157,0.08,0.4181,0.3637,1,ZONE_B
148.35,0.086,0.0483,1.465,0.05,0.086,0.038,0.0079,0.0483,0.3084,0,ZONE_A
867.22,6.884,2.0688,21.453,3.555,6.884,1.205,1.2331,2.0688,0.8629,2,ZONE_C
790.81,8.735,1.4952,16.424,4.241,8.735,1.362,0.62,1.4952,0.9575,2,ZONE_C
125.06,0.12,0.0458,0.846,0.033,0.12,0.039,0.0144,0.0458,0.1647,0,ZONE_A
219.59,0.192,0.0501,1.094,0.025,0.192,0.025,0.0028,0.0501,0.1163,0,ZONE_A
177.31,0.098,0.0315,0.75,0.014,0.098,0.025,0.0043,0.0315,0.3208,0,ZONE_A
136.47,0.148,0.0534,0.876,0.006,0.148,0.02,0.0051,0.0534,0.1763,0,ZONE_A
119.57,0.064,0.0321,0.707,0.037,0.064,0.019,0.0321,0.005,0.2001,0,ZONE_A
1081.07,6.627,1.9753,20.403,3.531,6.627,1.281,0.8138,1.9753,0.7363,2,ZONE_C
127.56,0.167,0.0203,1.056,0.04,0.167,0.031,0.0036,0.0203,0.0989,0,ZONE_A
193.13,0.135,0.0299,1.022,0.032,0.135,0.024,0.017,0.0299,0.1462,0,ZONE_A
139.74,0.171,0.0505,1.136,0.03,0.171,0.023,0.0022,0.0505,0.3136,0,ZONE_A
774.6,7.545,1.2524,9.977,3.64,7.545,1.509,0.62,1.2524,0.7206,2,ZONE_C
554.13,2.586,0.5017,4.185,0.744,2.586,0.116,0.08,0.5017,0.4423,1,ZONE_B
1029.41,9.899,1.3157,18.521,3.5,9.899,1.842,1.3157,0.61,0.969,2,ZONE_C
760.32,7.322,1.6343,11.574,3.624,7.322,1.022,1.4264,1.6343,0.8331,2,ZONE_C
1166.73,6.969,1.5413,16.117,2.763,6.969,1.304,1.3124,1.5413,0.9533,2,ZONE_C
1086.29,6.706,1.1599,9.909,2.695,6.706,1.127,0.7817,1.1599,0.7503,2,ZONE_C
1000.51,7.067,1.5585,18.416,2.122,7.067,1.084,1.0408,1.5585,0.8553,2,ZONE_C
470.89,1.978,0.2699,4.765,0.657,1.978,0.284,0.1489,0.2699,0.5947,1,ZONE_B
1014.57,7.745,1.9136,15.187,3.297,7.745,1.145,1.7412,1.9136,0.9459,2,ZONE_C
178.97,0.082,0.0461,1.142,0.034,0.082,0.038,0.0223,0.0461,0.2049,0,ZONE_A
107.2,0.186,0.0415,1.093,0.029,0.186,0.027,0.0205,0.0415,0.2976,0,ZONE_A
883.79,7.899,1.6488,13.53,4.459,7.899,1.671,0.9481,1.6488,0.9134,2,ZONE_C
128.47,0.139,0.0338,1.356,0.026,0.139,0.029,0.0234,0.0338,0.0864,0,ZONE_A
219.0,0.08,0.0532,1.506,0.032,0.08,0.036,0.0253,0.0532,0.1301,0,ZONE_A
77.34,0.12,0.0242,1.172,0.025,0.12,0.022,0.0236,0.0242,0.2927,0,ZONE_A
977.38,8.924,1.8234,16.877,3.373,8.924,1.318,1.2369,1.8234,0.7216,2,ZONE_C
1051.74,8.919,1.1167,13.34,3.101,8.919,0.867,0.6686,1.1167,0.831,2,ZONE_C
525.39,1.835,0.59,3.976,0.837,1.835,0.184,0.1326,0.59,0.6744,1,ZONE_B
127.45,0.159,0.0429,0.895,0.042,0.159,0.039,0.0257,0.0429,0.1553,0,ZONE_A
503.52,2.627,0.2948,5.301,0.502,2.627,0.173,0.1182,0.2948,0.6648,1,ZONE_B
120.17,0.275,0.0244,1.293,0.053,0.275,0.009,0.0079,0.0244,0.2091,0,ZONE_A
130.49,0.132,0.013,0.47,0.015,0.132,0.032,0.0038,0.013,0.0868,0,ZONE_A
158.46,0.089,0.0485,0.612,0.021,0.089,0.036,0.0074,0.0485,0.1904,0,ZONE_A
147.96,0.109,0.042,1.396,0.008,0.109,0.015,0.0049,0.042,0.2873,0,ZONE_A
170.42,0.142,0.0505,1.021,0.006,0.142,0.023,0.0062,0.0505,0.0911,0,ZONE_A
961.2,7.112,1.6036,17.051,3.293,7.112,1.387,1.1424,1.6036,0.8668,2,ZONE_C
1104.59,7.421,2.1698,17.708,4.012,7.421,1.408,1.525,2.1698,0.8128,2,ZONE_C
620.7,2.058,0.2425,5.103,0.721,2.058,0.163,0.2152,0.2425,0.5665,1,ZONE_B
133.39,0.177,0.0438,1.06,0.01,0.177,0.009,0.0088,0.0438,0.1163,0,ZONE_A
124.7,0.157,0.0374,1.528,0.06,0.157,0.031,0.0025,0.0374,0.2788,0,ZONE_A
970.59,9.474,1.3856,13.978,3.139,9.474,1.438,1.3856,0.9727,0.9318,2,ZONE_C
820.41,8.828,2.2207,11.106,3.338,8.828,0.996,0.6559,2.2207,0.9716,2,ZONE_C
877.88,5.568,2.1154,9.649,4.763,5.568,1.101,0.8755,2.1154,0.8002,2,ZONE_C
768.54,5.071,1.9073,19.587,3.639,5.071,1.556,1.0208,1.9073,0.852,2,ZONE_C
1217.45,7.171,1.5995,18.203,3.354,7.171,1.22,0.9762,1.5995,0.7883,2,ZONE_C
1023.23,10.064,2.1051,13.492,3.201,10.064,1.274,0.8021,2.1051,0.8513,2,ZONE_C
675.27,2.317,0.3885,6.443,0.809,2.317,0.191,0.1761,0.3885,0.6401,1,ZONE_B
777.7,6.576,1.6671,8.874,3.144,6.576,1.016,1.6671,0.7363,0.7673,2,ZONE_C
126.35,0.119,0.0105,1.19,0.027,0.119,0.041,0.002,0.0105,0.1538,0,ZONE_A
564.46,2.316,0.2782,2.995,0.655,2.316,0.243,0.1006,0.2782,0.4938,1,ZONE_B
588.42,2.666,0.2894,5.662,0.556,2.666,0.265,0.1566,0.2894,0.6146,1,ZONE_B
122.74,0.12,0.0267,1.605,0.002,0.12,0.025,0.0202,0.0267,0.131,0,ZONE_A
135.61,0.116,0.04,1.215,0.048,0.116,0.065,0.0026,0.04,0.2846,0,ZONE_A
450.06,1.87,0.3637,6.562,0.63,1.87,0.266,0.1462,0.3637,0.6786,1,ZONE_B
963.35,7.413,1.7941,15.891,3.12,7.413,0.73,1.0523,1.7941,0.8535,2,ZONE_C
156.41,0.116,0.0466,0.71,0.035,0.116,0.025,0.0031,0.0466,0.127,0,ZONE_A
162.47,0.153,0.0515,1.166,0.061,0.153,0.047,0.0268,0.0515,0.1741,0,ZONE_A
158.67,0.111,0.0329,1.407,0.046,0.111,0.038,0.0329,0.0294,0.102,0,ZONE_A
552.76,2.553,0.3735,5.339,0.53,2.553,0.213,0.0822,0.3735,0.4384,1,ZONE_B
515.81,2.36,0.2345,3.328,0.849,2.36,0.241,0.2345,0.1771,0.4978,1,ZONE_B
675.6,2.346,0.3271,5.717,0.61,2.346,0.256,0.2677,0.3271,0.3882,1,ZONE_B
466.89,2.084,0.2341,5.578,0.555,2.084,0.248,0.2257,0.2341,0.5546,1,ZONE_B
540.51,2.053,0.2711,3.775,0.652,2.053,0.119,0.157,0.2711,0.4681,1,ZONE_B
128.01,0.136,0.0265,0.97,0.022,0.136,0.039,0.002,0.0265,0.2381,0,ZONE_A
531.11,2.174,0.4987,4.365,0.322,2.174,0.179,0.1594,0.4987,0.683,1,ZONE_B
1244.21,7.664,1.1006,15.255,3.677,7.664,1.493,0.62,1.1006,0.9267,2,ZONE_C
128.28,0.125,0.0162,0.881,0.047,0.125,0.03,0.0054,0.0162,0.0756,0,ZONE_A
397.99,2.312,0.5463,6.44,0.439,2.312,0.123,0.0911,0.5463,0.4237,1,ZONE_B
760.0,8.315,2.254,18.517,3.589,8.315,1.182,0.6466,2.254,0.786,2,ZONE_C
90.18,0.155,0.0092,1.343,0.016,0.155,0.059,0.005,0.0092,0.1376,0,ZONE_A
139.9,0.138,0.0613,0.995,0.012,0.138,0.004,0.0206,0.0613,0.1464,0,ZONE_A
1284.97,8.051,1.3998,14.771,3.755,8.051,0.973,1.3998,1.3001,0.8385,2,ZONE_C
1233.96,5.11,2.0318,13.761,3.754,5.11,1.385,1.453,2.0318,0.8191,2,ZONE_C
127.83,0.19,0.0449,0.702,0.015,0.19,0.04,0.009,0.0449,0.2823,0,ZONE_A
232.75,0.194,0.0376,0.443,0.037,0.194,0.026,0.0109,0.0376,0.2168,0,ZONE_A
502.87,2.498,0.2017,6.707,0.654,2.498,0.148,0.2017,0.1641,0.4765,1,ZONE_B
558.92,2.007,0.1683,4.876,0.72,2.007,0.16,0.1161,0.1683,0.6542,1,ZONE_B
441.73,2.186,0.4123,4.449,0.989,2.186,0.258,0.1116,0.4123,0.4658,1,ZONE_B
586.59,2.205,0.5437,4.046,0.427,2.205,0.239,0.2839,0.5437,0.6431,1,ZONE_B
519.47,2.26,0.237,4.085,0.804,2.26,0.146,0.1753,0.237,0.5584,1,ZONE_B
1091.67,7.028,0.7644,11.971,3.735,7.028,1.334,0.7075,0.7644,0.8699,2,ZONE_C
530.14,2.155,0.2681,4.497,0.67,2.155,0.3,0.1606,0.2681,0.6128,1,ZONE_B
156.0,0.16,0.0264,1.61,0.031,0.16,0.008,0.0116,0.0264,0.1046,0,ZONE_A
915.01,8.624,2.1371,15.647,4.112,8.624,0.986,0.927,2.1371,0.8591,2,ZONE_C
559.65,2.609,0.2909,5.155,0.822,2.609,0.103,0.1328,0.2909,0.6507,1,ZONE_B
97.47,0.172,0.0297,1.887,0.038,0.172,0.029,0.002,0.0297,0.2873,0,ZONE_A
153.48,0.149,0.0221,0.985,0.021,0.149,0.031,0.002,0.0221,0.2164,0,ZONE_A
182.33,0.098,0.043,1.096,0.036,0.098,0.04,0.0062,0.043,0.1101,0,ZONE_A
977.41,8.19,1.2938,14.565,4.672,8.19,0.663,0.8754,1.2938,0.756,2,ZONE_C
898.12,7.441,1.514,15.319,2.652,7.441,1.253,0.8138,1.514,0.9444,2,ZONE_C
512.51,2.357,0.4079,3.927,0.801,2.357,0.222,0.1976,0.4079,0.5858,1,ZONE_B
1209.45,7.804,1.3787,10.67,2.681,7.804,1.3,1.3787,1.1697,0.9102,2,ZONE_C
135.06,0.087,0.0406,0.923,0.032,0.087,0.05,0.002,0.0406,0.093,0,ZONE_A
601.85,2.4,0.5392,3.862,0.705,2.4,0.314,0.3197,0.5392,0.42,1,ZONE_B
569.59,2.171,0.2342,5.311,0.775,2.171,0.171,0.1404,0.2342,0.5848,1,ZONE_B
503.69,2.068,0.3165,4.692,0.65,2.068,0.128,0.1121,0.3165,0.6306,1,ZONE_B
1314.41,8.617,1.6011,12.669,2.819,8.617,1.361,1.2247,1.6011,0.7322,2,ZONE_C
89.66,0.096,0.0449,1.344,0.017,0.096,0.034,0.002,0.0449,0.2394,0,ZONE_A
598.74,2.439,0.4015,3.959,0.667,2.439,0.149,0.08,0.4015,0.3612,1,ZONE_B
145.3,0.154,0.0389,1.816,0.016,0.154,0.021,0.0028,0.0389,0.2969,0,ZONE_A
190.78,0.109,0.0246,1.103,0.026,0.109,0.009,0.0088,0.0246,0.0759,0,ZONE_A
410.0,2.02,0.3014,4.736,0.736,2.02,0.151,0.1187,0.3014,0.6062,1,ZONE_B
